,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
611,463,Jericho Sims,C,25,NYK,43,10,13.0,0.9,1.3,.704,0.0,0.0,,0.9,1.3,.704,.704,0.3,0.5,.636,1.3,2.0,3.3,0.6,0.2,0.4,0.4,1.0,2.1,2024
612,464,Dmytro Skapintsev,C,25,NYK,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
613,465,Jalen Slawson,SF,24,SAC,9,0,3.4,0.3,0.6,.600,0.0,0.2,.000,0.3,0.3,1.000,.600,0.0,0.0,,0.1,0.7,0.8,0.2,0.1,0.1,0.2,0.8,0.7,2024
614,466,Javonte Smart,PG,24,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
615,467,Marcus Smart,PG,29,MEM,20,20,30.3,5.1,11.9,.430,2.1,6.7,.313,3.0,5.2,.583,.519,2.2,2.8,.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,2024
616,468,Dennis Smith Jr.,PG,26,BRK,55,2,19.2,2.7,6.1,.435,0.6,2.0,.296,2.1,4.1,.500,.482,0.8,1.1,.741,0.9,2.1,3.0,3.7,1.2,0.2,1.2,2.2,6.7,2024
617,469,Dru Smith,SG,26,MIA,9,0,14.6,1.7,3.7,.455,0.8,1.9,.412,0.9,1.8,.500,.561,0.2,0.2,1.000,0.7,0.9,1.6,1.6,1.0,0.3,0.6,1.3,4.3,2024
618,470,Ish Smith,PG,35,CHO,43,5,17.2,1.5,3.7,.418,0.1,0.2,.500,1.4,3.5,.413,.430,0.1,0.1,.750,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2,2024
619,471,Jabari Smith Jr.,PF,20,HOU,67,67,31.6,4.8,10.7,.449,1.7,4.8,.358,3.1,5.9,.523,.529,2.0,2.4,.816,1.9,6.4,8.3,1.4,0.7,0.7,1.2,2.7,13.3,2024
620,472,Jalen Smith,C,23,IND,54,13,17.4,3.9,6.4,.599,1.1,2.4,.435,2.8,4.0,.699,.682,1.2,1.7,.681,1.7,3.8,5.5,1.0,0.3,0.6,0.7,2.1,9.9,2024
621,473,Nick Smith Jr.,SG,19,CHO,46,0,14.0,2.1,5.3,.392,1.2,2.7,.424,0.9,2.6,.358,.500,0.2,0.3,.846,0.4,0.9,1.3,1.1,0.2,0.2,0.8,1.2,5.6,2024
622,474,Terquavion Smith,PG,21,PHI,12,0,5.8,1.3,3.3,.400,1.0,2.6,.387,0.3,0.8,.444,.550,0.2,0.3,.667,0.0,0.2,0.2,0.8,0.6,0.0,0.3,0.3,3.8,2024
623,475,Jeremy Sochan,PF,20,SAS,74,73,29.6,4.6,10.5,.438,0.9,3.1,.308,3.6,7.4,.492,.483,1.5,1.9,.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,11.6,2024
624,476,Pat Spencer,PG,27,GSW,3,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,2024
625,477,Jaden Springer,SG-PG,21,TOT,45,1,10.0,1.2,3.0,.382,0.2,1.0,.182,1.0,2.0,.478,.412,0.7,0.8,.833,0.7,0.8,1.5,0.9,0.6,0.3,0.7,1.3,3.2,2024
626,477,Jaden Springer,SG,21,PHI,32,1,11.8,1.4,3.7,.390,0.3,1.2,.216,1.2,2.5,.469,.424,0.9,1.1,.824,0.8,1.0,1.8,1.1,0.8,0.3,0.8,1.5,4.0,2024
627,477,Jaden Springer,PG,21,BOS,13,0,5.5,0.5,1.4,.333,0.0,0.5,.000,0.5,0.8,.545,.333,0.2,0.2,1.000,0.6,0.2,0.8,0.4,0.2,0.2,0.3,0.8,1.1,2024
628,478,Lamar Stevens,PF,26,TOT,33,2,12.9,2.6,5.5,.475,0.3,0.9,.333,2.3,4.6,.503,.503,1.0,1.3,.791,0.8,2.1,2.9,0.6,0.5,0.5,0.7,1.1,6.6,2024
629,478,Lamar Stevens,PF,26,BOS,19,1,6.4,1.1,2.4,.467,0.2,0.4,.375,0.9,1.9,.486,.500,0.4,0.6,.727,0.6,1.0,1.6,0.4,0.3,0.3,0.5,0.7,2.8,2024
630,478,Lamar Stevens,PF,26,MEM,14,1,21.7,4.7,9.9,.478,0.5,1.6,.318,4.2,8.3,.509,.504,1.9,2.3,.813,1.1,3.6,4.7,0.9,0.6,0.8,1.0,1.6,11.8,2024
631,479,Isaiah Stewart,PF,22,DET,46,45,30.9,4.0,8.3,.487,1.5,3.8,.383,2.6,4.5,.575,.575,1.4,1.8,.753,1.6,5.0,6.6,1.6,0.4,0.8,1.4,2.2,10.9,2024
632,480,Julian Strawther,SF,21,DEN,44,0,11.9,1.8,4.9,.377,0.9,3.0,.299,0.9,1.8,.506,.470,0.5,0.6,.741,0.1,1.1,1.2,1.0,0.4,0.2,0.4,1.2,5.0,2024
633,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
634,481,Max Strus,SF,27,CLE,62,62,32.0,4.5,10.6,.418,2.4,7.0,.346,2.0,3.6,.561,.533,1.0,1.3,.788,0.9,3.8,4.7,3.8,0.9,0.5,1.5,2.6,12.4,2024
635,482,Jalen Suggs,SG,22,ORL,66,66,26.8,4.4,9.6,.460,2.1,5.2,.396,2.3,4.4,.536,.568,1.4,1.9,.754,0.7,2.5,3.1,2.7,1.4,0.6,1.8,2.7,12.4,2024
636,483,Cole Swider,SF,24,MIA,14,0,5.9,1.1,2.6,.417,0.7,2.0,.357,0.4,0.6,.625,.556,0.1,0.1,1.000,0.1,0.4,0.5,0.3,0.1,0.1,0.6,0.1,3.0,2024
637,484,Jae'Sean Tate,SF,28,HOU,63,9,16.2,1.7,3.6,.471,0.4,1.2,.299,1.3,2.4,.560,.522,0.4,0.6,.667,1.0,2.1,3.1,1.0,0.7,0.2,0.6,2.2,4.2,2024
638,485,Jayson Tatum,PF,25,BOS,68,68,36.0,9.2,19.5,.472,3.1,8.3,.378,6.1,11.2,.542,.553,5.7,6.9,.832,0.9,7.3,8.2,4.9,1.0,0.6,2.5,2.0,27.3,2024
639,486,Terry Taylor,PF,24,CHI,30,0,5.9,0.6,1.2,.514,0.1,0.3,.222,0.6,0.9,.607,.541,0.1,0.1,.667,0.5,0.7,1.2,0.3,0.1,0.1,0.2,0.6,1.4,2024
640,487,Garrett Temple,SG,37,TOR,20,0,7.1,0.9,1.9,.459,0.4,1.0,.400,0.5,0.9,.529,.568,0.5,0.5,.900,0.4,1.0,1.4,0.8,0.4,0.1,0.3,0.6,2.6,2024
641,488,Dalen Terry,SG,21,CHI,51,1,10.7,1.0,2.4,.421,0.3,1.2,.233,0.7,1.2,.607,.479,0.4,0.7,.618,0.5,1.4,1.8,1.3,0.4,0.2,0.5,1.2,2.7,2024
642,489,Daniel Theis,C,31,TOT,55,3,16.6,2.5,4.7,.527,0.4,1.1,.373,2.1,3.7,.572,.569,0.6,0.8,.739,1.4,2.5,3.9,1.1,0.3,0.8,0.7,2.1,6.0,2024
643,489,Daniel Theis,C,31,IND,1,0,8.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2024
644,489,Daniel Theis,C,31,LAC,54,3,16.8,2.5,4.7,.531,0.4,1.1,.379,2.1,3.7,.576,.574,0.6,0.9,.739,1.4,2.5,3.9,1.1,0.4,0.9,0.7,2.2,6.1,2024
645,490,Cam Thomas,SG,22,BRK,58,43,31.0,7.9,17.7,.445,2.1,5.8,.362,5.8,12.0,.484,.503,4.0,4.7,.850,0.4,2.8,3.3,2.9,0.7,0.2,1.8,2.1,21.9,2024
646,491,Isaiah Thomas,PG,34,PHO,2,0,4.5,1.0,2.5,.400,0.5,1.0,.500,0.5,1.5,.333,.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,2024
647,492,Amen Thompson,SF,21,HOU,54,15,21.4,3.7,7.1,.530,0.1,1.0,.145,3.6,6.0,.595,.541,1.6,2.4,.674,2.2,4.1,6.3,2.4,1.2,0.6,1.4,2.3,9.2,2024
648,493,Ausar Thompson,SF,21,DET,63,38,25.1,3.7,7.6,.483,0.3,1.8,.186,3.3,5.8,.575,.505,1.1,1.9,.597,2.0,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8,2024
649,494,Klay Thompson,SF,33,GSW,69,55,29.7,6.2,14.5,.426,3.4,8.9,.383,2.8,5.7,.492,.543,1.6,1.8,.917,0.5,2.9,3.3,2.2,0.6,0.4,1.5,1.7,17.4,2024
650,495,Tristan Thompson,C,32,CLE,44,0,11.9,1.6,2.5,.636,0.0,0.0,.000,1.6,2.5,.642,.636,0.3,1.1,.300,1.6,2.2,3.8,1.1,0.3,0.3,0.7,1.3,3.5,2024
651,496,JT Thor,PF,21,CHO,55,1,11.9,1.1,2.8,.379,0.4,1.2,.324,0.7,1.5,.424,.451,0.1,0.2,.538,0.7,1.5,2.2,0.4,0.1,0.4,0.2,0.9,2.6,2024
652,497,Matisse Thybulle,SF,26,POR,65,19,22.9,1.9,4.9,.397,1.2,3.6,.346,0.7,1.3,.535,.524,0.3,0.4,.759,0.5,1.6,2.1,1.4,1.7,0.8,0.6,1.4,5.4,2024
653,498,Xavier Tillman Sr.,C-PF,25,TOT,46,14,19.1,2.3,5.4,.421,0.3,1.5,.214,1.9,3.8,.503,.451,0.5,1.0,.447,1.4,2.8,4.2,1.5,1.0,0.9,0.7,1.5,5.3,2024
654,498,Xavier Tillman Sr.,C,25,MEM,34,13,20.6,2.6,6.3,.408,0.4,1.6,.226,2.2,4.7,.469,.437,0.5,1.3,.419,1.6,3.0,4.6,1.7,1.2,1.0,0.9,1.8,6.0,2024
655,498,Xavier Tillman Sr.,PF,25,BOS,12,1,14.9,1.4,2.8,.500,0.3,1.4,.176,1.2,1.4,.824,.544,0.3,0.3,.750,0.8,2.3,3.2,0.9,0.4,0.4,0.3,0.8,3.3,2024
656,499,Jacob Toppin,SF,23,NYK,9,0,4.2,0.6,1.0,.556,0.1,0.4,.250,0.4,0.6,.800,.611,0.2,0.2,1.000,0.3,0.4,0.8,0.3,0.0,0.1,0.1,0.3,1.4,2024
657,500,Obi Toppin,PF,25,IND,75,28,21.3,3.9,6.9,.570,1.2,3.0,.402,2.7,3.9,.699,.657,0.9,1.2,.758,1.0,2.8,3.8,1.5,0.5,0.5,0.8,1.7,10.0,2024
658,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
659,501,Juan Toscano-Anderson,SF,30,SAC,11,0,4.8,0.3,1.1,.250,0.1,0.4,.250,0.2,0.7,.250,.292,0.0,0.0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1.0,0.6,2024
660,502,Karl-Anthony Towns,PF,28,MIN,60,60,32.8,7.9,15.5,.506,2.2,5.3,.423,5.6,10.3,.550,.578,4.2,4.8,.874,1.5,6.9,8.4,3.0,0.7,0.7,2.8,3.3,22.1,2024
661,503,Gary Trent Jr.,SG,25,TOR,65,35,27.8,4.8,11.4,.424,2.5,6.2,.402,2.4,5.2,.450,.533,1.0,1.3,.770,0.4,2.2,2.6,1.6,1.0,0.2,0.6,1.3,13.2,2024
662,504,Oscar Tshiebwe,PF,24,IND,8,0,5.3,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.8,1.0,.750,1.0,1.0,2.0,0.3,0.3,0.1,0.0,0.4,3.3,2024
663,505,P.J. Tucker,PF,38,TOT,25,4,15.6,0.5,1.6,.333,0.4,1.2,.345,0.1,0.4,.300,.462,0.1,0.1,1.000,0.9,1.9,2.8,0.5,0.5,0.3,0.3,1.9,1.6,2024
664,505,P.J. Tucker,PF,38,PHI,3,3,22.0,0.7,1.7,.400,0.7,1.7,.400,0.0,0.0,,.600,0.0,0.0,,0.3,4.3,4.7,0.0,1.0,0.7,0.7,3.0,2.0,2024
665,505,P.J. Tucker,PF,38,LAC,22,1,14.7,0.5,1.5,.324,0.4,1.1,.333,0.1,0.5,.300,.441,0.1,0.1,1.000,1.0,1.6,2.6,0.5,0.5,0.2,0.3,1.8,1.5,2024
666,506,Myles Turner,C,27,IND,71,71,27.3,6.1,11.9,.517,1.5,4.2,.349,4.7,7.7,.608,.578,3.2,4.1,.775,1.5,5.4,6.9,1.3,0.5,1.8,1.4,3.1,16.9,2024
667,507,Hunter Tyson,PF,23,DEN,13,0,2.8,0.5,1.2,.375,0.2,0.8,.273,0.2,0.4,.600,.469,0.0,0.0,,0.1,0.6,0.7,0.2,0.0,0.0,0.2,0.7,1.2,2024
668,508,Stanley Umude,SG,24,DET,24,2,12.8,1.5,3.5,.440,1.0,2.2,.453,0.5,1.3,.419,.583,1.2,1.3,.906,0.3,1.8,2.1,0.5,0.3,0.3,0.6,1.7,5.3,2024
669,509,Jonas Valančiūnas,C,31,NOP,73,73,24.1,5.0,8.9,.562,0.5,1.5,.336,4.5,7.4,.608,.591,2.0,2.5,.797,2.4,6.7,9.2,2.1,0.4,0.9,1.3,2.8,12.5,2024
670,510,Jarred Vanderbilt,PF,24,LAL,29,6,20.0,2.0,3.9,.518,0.3,0.9,.296,1.8,3.0,.586,.553,0.8,1.2,.667,1.4,3.3,4.8,1.2,1.2,0.2,1.0,1.5,5.2,2024
671,511,Fred VanVleet,PG,29,HOU,66,66,36.7,5.6,13.7,.412,3.0,8.0,.381,2.6,5.7,.455,.523,2.6,3.0,.867,0.4,3.3,3.7,8.1,1.3,0.9,1.7,2.4,16.8,2024
672,512,Devin Vassell,SG,23,SAS,68,62,33.1,7.3,15.5,.472,2.4,6.6,.372,4.9,9.0,.544,.550,2.4,3.0,.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5,2024
673,513,Sasha Vezenkov,PF,28,SAC,35,0,12.6,2.1,4.7,.448,1.1,2.9,.380,1.0,1.9,.554,.564,0.3,0.4,.769,0.9,1.6,2.5,0.4,0.5,0.2,0.3,1.0,5.6,2024
674,514,Gabe Vincent,PG,27,LAL,5,0,25.4,2.4,6.4,.375,0.4,3.4,.118,2.0,3.0,.667,.406,0.2,0.4,.500,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4,2024
675,515,Nikola Vučević,C,33,CHI,69,67,34.3,7.7,16.0,.481,1.2,4.1,.283,6.5,11.9,.551,.518,1.4,1.7,.826,2.8,7.9,10.6,3.3,0.7,0.8,1.6,2.5,18.0,2024
676,516,Tristan Vukcevic,C,20,WAS,4,0,4.8,0.5,1.8,.286,0.5,1.3,.400,0.0,0.5,.000,.429,0.0,0.0,,0.0,1.8,1.8,0.0,0.3,0.3,0.5,0.8,1.5,2024
677,517,Dean Wade,PF,27,CLE,54,32,20.5,1.8,4.3,.414,1.5,3.7,.391,0.3,0.6,.567,.584,0.4,0.5,.769,0.7,3.4,4.0,0.8,0.7,0.5,0.4,1.7,5.4,2024
678,518,Franz Wagner,SF,22,ORL,65,65,32.7,7.4,15.4,.479,1.3,4.7,.285,6.0,10.7,.564,.523,3.6,4.2,.848,1.0,4.4,5.3,3.8,1.1,0.4,2.0,2.4,19.6,2024
679,519,Moritz Wagner,C,26,ORL,71,1,18.0,4.2,7.0,.598,0.5,1.4,.324,3.7,5.5,.669,.631,2.1,2.6,.803,1.5,3.0,4.5,1.3,0.5,0.3,1.2,2.0,10.9,2024
680,520,Ish Wainright,SF,29,TOT,10,0,6.1,0.7,2.4,.292,0.7,2.0,.350,0.0,0.4,.000,.438,0.2,0.2,1.000,0.3,1.1,1.4,0.1,0.4,0.1,0.2,0.8,2.3,2024
681,520,Ish Wainright,SF,29,POR,7,0,6.6,0.9,2.6,.333,0.9,2.3,.375,0.0,0.3,.000,.500,0.3,0.3,1.000,0.0,1.3,1.3,0.0,0.3,0.1,0.1,0.6,2.9,2024
682,520,Ish Wainright,SF,29,PHO,3,0,5.0,0.3,2.0,.167,0.3,1.3,.250,0.0,0.7,.000,.250,0.0,0.0,,1.0,0.7,1.7,0.3,0.7,0.0,0.3,1.3,1.0,2024
683,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
684,521,Jabari Walker,SF,21,POR,65,16,22.6,3.2,6.6,.475,0.5,1.8,.280,2.6,4.8,.548,.513,1.7,2.2,.755,1.9,4.4,6.4,0.9,0.6,0.3,0.9,2.4,8.5,2024
685,522,Jarace Walker,PF,20,IND,30,0,10.5,1.3,3.4,.396,0.7,1.7,.385,0.7,1.6,.408,.495,0.3,0.3,.889,0.4,1.5,1.9,1.2,0.5,0.4,0.5,0.9,3.6,2024
686,523,Lonnie Walker IV,SG,25,BRK,52,0,17.1,3.6,8.4,.430,1.9,4.7,.398,1.8,3.7,.472,.541,0.8,1.0,.774,0.2,1.8,2.0,1.2,0.6,0.3,0.9,1.3,9.9,2024
687,524,Cason Wallace,SG,20,OKC,73,10,20.7,2.7,5.3,.500,1.2,2.9,.422,1.5,2.5,.592,.614,0.3,0.5,.758,0.6,1.6,2.3,1.4,0.8,0.4,0.5,1.6,6.9,2024
688,525,Jordan Walsh,SF,19,BOS,6,0,6.7,0.5,1.3,.375,0.0,0.7,.000,0.5,0.7,.750,.375,0.0,0.0,,0.5,1.7,2.2,0.7,0.3,0.2,0.3,1.0,1.0,2024
689,526,T.J. Warren,SF,30,MIN,8,0,13.3,1.6,4.3,.382,0.3,1.4,.182,1.4,2.9,.478,.412,0.1,0.3,.500,0.6,1.5,2.1,0.9,0.4,0.1,0.5,1.4,3.6,2024
690,527,P.J. Washington,PF,25,TOT,65,37,30.2,4.8,11.0,.432,1.7,5.5,.308,3.1,5.5,.557,.510,1.4,2.0,.690,1.2,4.3,5.5,1.9,0.9,0.8,1.3,2.4,12.6,2024
691,527,P.J. Washington,PF,25,CHO,44,17,29.2,5.2,11.6,.446,1.8,5.5,.324,3.4,6.0,.558,.524,1.5,2.1,.713,1.2,4.1,5.3,2.2,0.9,0.7,1.5,2.5,13.6,2024
692,527,P.J. Washington,PF,25,DAL,21,20,32.1,4.0,9.9,.399,1.5,5.5,.276,2.4,4.4,.554,.476,1.0,1.7,.629,1.1,4.9,6.0,1.3,1.0,0.9,0.9,2.0,10.5,2024
693,528,TyTy Washington Jr.,PG,22,MIL,5,0,4.2,0.2,1.4,.143,0.2,0.6,.333,0.0,0.8,.000,.214,0.0,0.0,,0.0,0.2,0.2,0.2,0.4,0.0,0.4,0.0,0.6,2024
694,529,Yuta Watanabe,SF,29,TOT,34,0,13.6,1.2,3.4,.353,0.7,2.5,.294,0.5,0.9,.516,.461,0.3,0.5,.588,0.3,1.3,1.6,0.4,0.4,0.2,0.6,1.1,3.4,2024
695,529,Yuta Watanabe,SF,29,PHO,29,0,13.2,1.2,3.3,.361,0.8,2.6,.320,0.4,0.8,.500,.485,0.3,0.5,.667,0.4,1.2,1.6,0.3,0.3,0.2,0.6,1.2,3.6,2024
696,529,Yuta Watanabe,SF,29,MEM,5,0,16.4,1.2,3.8,.316,0.2,2.0,.100,1.0,1.8,.556,.342,0.0,0.4,.000,0.0,1.8,1.8,1.0,0.6,0.0,0.6,1.0,2.6,2024
697,530,Lindy Waters III,SG,26,OKC,31,0,6.4,0.9,2.2,.406,0.8,1.9,.417,0.1,0.3,.333,.587,0.0,0.0,1.000,0.1,0.8,1.0,0.5,0.1,0.2,0.2,0.6,2.6,2024
698,531,Trendon Watford,PF,23,BRK,55,0,11.7,2.3,4.3,.532,0.4,1.0,.396,1.9,3.3,.571,.576,1.1,1.3,.855,0.8,1.8,2.7,1.1,0.4,0.3,0.7,1.5,6.0,2024
699,532,Peyton Watson,SF,21,DEN,72,4,18.2,2.6,5.6,.458,0.6,2.0,.299,2.0,3.6,.547,.511,0.9,1.3,.677,0.7,2.4,3.0,1.0,0.5,1.0,0.7,1.8,6.6,2024
700,533,Victor Wembanyama,C,20,SAS,65,65,29.2,7.6,16.3,.468,1.7,5.2,.324,5.9,11.0,.537,.520,4.1,5.1,.796,2.3,8.2,10.5,3.6,1.2,3.4,3.6,2.2,21.0,2024
701,534,Blake Wesley,SG,20,SAS,53,1,13.5,1.6,3.3,.486,0.2,0.8,.195,1.4,2.5,.576,.509,0.8,1.2,.672,0.3,1.1,1.4,2.6,0.5,0.2,0.8,1.5,4.1,2024
702,535,Russell Westbrook,PG,35,LAC,61,10,22.4,4.4,9.7,.449,0.6,2.3,.261,3.8,7.4,.508,.480,1.6,2.3,.678,1.4,3.6,5.0,4.4,1.1,0.3,2.0,1.7,10.9,2024
703,536,Coby White,PG,23,CHI,71,70,36.6,6.8,15.4,.444,2.8,7.2,.381,4.1,8.1,.500,.534,2.9,3.4,.839,0.6,4.1,4.7,5.3,0.7,0.2,2.1,2.4,19.3,2024
704,537,Derrick White,SG,29,BOS,67,67,32.7,5.4,11.7,.465,2.7,6.7,.400,2.7,4.9,.555,.581,1.9,2.2,.897,0.7,3.6,4.3,5.2,1.0,1.3,1.6,2.1,15.5,2024
705,538,Cam Whitmore,SF,19,HOU,38,1,17.8,4.5,9.6,.464,1.6,4.4,.361,2.9,5.2,.553,.548,1.6,2.3,.670,0.9,3.0,3.9,0.5,0.6,0.3,0.9,1.3,12.1,2024
706,539,Aaron Wiggins,SG,25,OKC,69,1,14.8,2.5,4.2,.580,0.8,1.6,.505,1.7,2.7,.624,.672,0.6,0.8,.764,0.8,1.6,2.3,0.9,0.6,0.2,0.7,1.1,6.3,2024
707,540,Andrew Wiggins,SF,28,GSW,64,52,27.0,5.0,10.9,.456,1.2,3.4,.359,3.7,7.4,.501,.513,1.9,2.5,.736,1.6,3.0,4.5,1.7,0.6,0.5,1.2,2.1,13.0,2024
708,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2024
709,541,Lindell Wigginton,PG,25,MIL,3,0,2.7,0.7,1.7,.400,0.0,0.7,.000,0.7,1.0,.667,.400,0.7,0.7,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,2024
710,542,Alondes Williams,SG,24,MIA,3,0,3.7,0.3,1.3,.250,0.0,0.7,.000,0.3,0.7,.500,.250,0.3,0.3,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,1.0,2024
711,543,Brandon Williams,PG,24,DAL,12,0,4.9,0.7,1.8,.364,0.2,0.5,.333,0.5,1.3,.375,.409,0.5,0.9,.545,0.3,0.3,0.6,1.0,0.1,0.1,0.3,0.2,2.0,2024
712,544,Grant Williams,PF,25,TOT,69,37,27.4,3.4,7.7,.438,1.6,4.5,.363,1.7,3.2,.543,.544,1.4,1.8,.758,1.1,2.9,4.1,2.0,0.6,0.5,1.4,2.9,9.8,2024
713,544,Grant Williams,PF,25,DAL,47,33,26.4,2.8,6.7,.413,1.7,4.5,.376,1.1,2.3,.486,.538,0.9,1.2,.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1,2024
714,544,Grant Williams,PF,25,CHO,22,4,29.6,4.6,9.8,.474,1.5,4.6,.337,3.1,5.2,.596,.553,2.4,3.1,.768,1.5,3.6,5.1,2.5,0.8,0.5,2.0,2.9,13.2,2024
715,545,Jalen Williams,PF,22,OKC,66,66,31.7,7.6,14.2,.536,1.5,3.5,.434,6.1,10.7,.569,.589,2.6,3.2,.825,0.6,3.4,4.0,4.5,1.1,0.6,1.8,2.6,19.3,2024
716,546,Jaylin Williams,C,21,OKC,60,0,12.5,1.3,3.1,.401,0.8,2.0,.369,0.5,1.1,.462,.521,0.4,0.5,.821,0.5,2.8,3.3,1.4,0.4,0.4,0.5,1.4,3.6,2024
717,547,Jeenathan Williams,SG,24,HOU,17,0,5.5,1.0,2.1,.486,0.1,0.2,.250,0.9,1.8,.516,.500,0.4,0.6,.700,0.6,0.4,0.9,0.4,0.2,0.0,0.1,0.6,2.5,2024
718,548,Kenrich Williams,PF,29,OKC,60,1,14.5,1.8,3.8,.457,0.8,2.0,.377,1.0,1.8,.546,.557,0.1,0.2,.417,0.9,2.1,3.1,1.3,0.6,0.1,0.3,1.5,4.4,2024
719,549,Mark Williams,C,22,CHO,19,19,26.7,5.2,7.9,.649,0.0,0.0,,5.2,7.9,.649,.649,2.4,3.4,.719,4.0,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7,2024
720,550,Patrick Williams,PF,22,CHI,43,30,27.3,3.7,8.3,.443,1.4,3.4,.399,2.3,4.9,.474,.525,1.2,1.5,.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2.0,10.0,2024
721,551,Robert Williams,C,26,POR,6,0,19.8,2.8,4.3,.654,0.0,0.0,,2.8,4.3,.654,.654,1.2,1.5,.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8,2024
722,552,Vince Williams Jr.,SG,23,MEM,52,33,27.6,3.3,7.3,.446,1.5,4.0,.378,1.7,3.3,.529,.550,2.0,2.5,.800,1.1,4.4,5.6,3.4,0.9,0.7,1.8,2.6,10.0,2024
723,553,Ziaire Williams,SF,22,MEM,51,15,20.4,2.9,7.4,.397,1.1,3.7,.307,1.8,3.7,.487,.474,1.2,1.5,.827,0.7,2.8,3.5,1.5,0.7,0.2,1.3,1.7,8.2,2024
724,554,Zion Williamson,PF,23,NOP,62,62,31.1,8.9,15.2,.586,0.1,0.2,.357,8.8,15.0,.589,.589,4.9,6.9,.702,1.7,4.1,5.8,5.0,1.0,0.6,2.7,2.3,22.8,2024
725,555,D.J. Wilson,PF,27,PHI,2,0,7.5,2.0,3.0,.667,1.0,1.0,1.000,1.0,2.0,.500,.833,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,5.0,2024
726,556,Jalen Wilson,PF,23,BRK,35,2,13.9,1.6,3.7,.427,0.5,1.5,.340,1.1,2.2,.487,.496,0.8,0.9,.906,1.0,1.6,2.6,1.1,0.2,0.0,0.4,1.1,4.5,2024
727,557,Dylan Windler,SF,27,TOT,15,0,5.2,0.7,1.5,.500,0.6,1.3,.474,0.1,0.2,.667,.705,0.0,0.0,,0.1,0.7,0.7,0.6,0.1,0.0,0.1,0.3,2.1,2024
728,557,Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0,2024
729,557,Dylan Windler,SF,27,LAL,8,0,3.5,0.5,1.1,.444,0.5,1.0,.500,0.0,0.1,.000,.667,0.0,0.0,,0.0,0.4,0.4,0.8,0.0,0.0,0.0,0.3,1.5,2024
730,557,Dylan Windler,SF,27,ATL,4,0,10.8,1.5,2.8,.545,1.0,2.3,.444,0.5,0.5,1.000,.727,0.0,0.0,,0.3,1.5,1.8,0.5,0.5,0.0,0.3,0.5,4.0,2024
